PropertyName,PropertySubName,NearbyLocations,LocationAdvantages,Link,PriceDetails,TopFacilities
Runwal Forests,"1, 2, 3 BHK Apartment in Mulund West, Mumbai","['Mulund Station', 'Eastern Express Highway', 'Mulund Lake', 'D Mart', 'Mumbai-Pune Expressway']","{'Mulund Station': '2 km', 'Eastern Express Highway': '1 km', 'Mulund Lake': '3 km', 'Thane': '5 km', 'Mumbai Airport': '15 km'}",https://www.99acres.com/runwal-forests-mulund,"{'1 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '550 sq.ft.', 'price-range': '₹ 1.8 - 2.2 Cr'}, '2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '850 sq.ft.', 'price-range': '₹ 2.8 - 3.3 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,250 sq.ft.', 'price-range': '₹ 4 - 4.8 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Children's Play Area', 'Jogging Track', 'Indoor Games', 'Party Hall', '24x7 Security', 'Car Parking']"
Brigade Group - Lakefront,"2, 3 BHK Apartment in Bhandup West, Mumbai","['Bhandup Pumping Station', 'Eastern Express Highway', 'Mumbai Zoo', 'Nehru Nagar', 'Mulund Station']","{'Eastern Express Highway': '2 km', 'Bhandup Station': '3 km', 'Mulund': '4 km', 'Mumbai Airport': '12 km', 'Thane': '6 km'}",https://www.99acres.com/brigade-lakefront-bhandup,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '950 sq.ft.', 'price-range': '₹ 3.2 - 3.8 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,350 sq.ft.', 'price-range': '₹ 4.5 - 5.2 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Children's Play Area', 'Jogging Track', 'Party Lawn', '24x7 Security', 'Rain Water Harvesting', 'Car Parking']"
Lodha Upper Thane,"2, 3 BHK Apartment in Thane, Mumbai","['Upvan Lake', 'Talao Pali', 'Korum Mall', 'Eastern Express Highway', 'Mumbai-Pune Expressway']","{'Upvan Lake': '3 km', 'Korum Mall': '4 km', 'Thane Station': '6 km', 'Eastern Express Highway': '2 km', 'Mumbai-Pune Expressway': '5 km'}",https://www.99acres.com/lodha-upper-thane,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,050 sq.ft.', 'price-range': '₹ 2.8 - 3.3 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,450 sq.ft.', 'price-range': '₹ 3.8 - 4.5 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Tennis Court', 'Squash Court', 'Indoor Games', 'Jogging Track', 'Amphitheatre', 'Party Hall']"
Godrej Bayview,"3, 4 BHK Apartment in Vikhroli, Mumbai","['Godrej Industries', 'IIT Bombay', 'Hiranandani Hospital', 'Kanjurmarg Station', 'Eastern Express Highway']","{'IIT Bombay': '3 km', 'Eastern Express Highway': '500 m', 'Powai Lake': '4 km', 'Mumbai Airport': '8 km', 'Kanjurmarg Station': '2 km'}",https://www.99acres.com/godrej-bayview-vikhroli,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,750 sq.ft.', 'price-range': '₹ 6.5 - 7.5 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,350 sq.ft.', 'price-range': '₹ 8.5 - 10 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Tennis Court', 'Squash Court', 'Indoor Games', 'Jogging Track', 'Amphitheatre', 'Party Hall']"
Hiranandani Estate,"3, 4, 5 BHK Apartment in Thane, Mumbai","['Upvan Lake', 'Talao Pali', 'Korum Mall', 'Cadbury Junction', 'Eastern Express Highway']","{'Upvan Lake': '2 km', 'Korum Mall': '3 km', 'Thane Station': '5 km', 'Eastern Express Highway': '4 km', 'Mumbai-Pune Expressway': '6 km'}",https://www.99acres.com/hiranandani-estate-thane,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,850 sq.ft.', 'price-range': '₹ 4.5 - 5.2 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,450 sq.ft.', 'price-range': '₹ 6 - 7 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '3,150 sq.ft.', 'price-range': '₹ 7.8 - 9 Cr'}}","['Swimming Pool', 'Tennis Court', 'Squash Court', 'Gymnasium', 'Club House', 'Basketball Court', 'Jogging Track', 'Skating Rink', 'Party Lawn']"
Kalpataru Radiance,"2, 3 BHK Apartment in Mulund West, Mumbai","['Mulund Station', 'Eastern Express Highway', 'Mulund Lake', 'D Mart', 'Mumbai-Pune Expressway']","{'Mulund Station': '2 km', 'Eastern Express Highway': '1 km', 'Mulund Lake': '3 km', 'Thane': '5 km', 'Mumbai Airport': '15 km'}",https://www.99acres.com/kalpataru-radiance-mulund,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '950 sq.ft.', 'price-range': '₹ 3 - 3.5 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,350 sq.ft.', 'price-range': '₹ 4.2 - 4.8 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Children's Play Area', 'Jogging Track', 'Indoor Games', 'Party Hall', '24x7 Security', 'Car Parking']"
Piramal Revanta,"3, 4 BHK Apartment in Byculla, Mumbai","['Byculla Zoo', 'Mumbai Central', 'Wadia Hospital', 'Phoenix Marketcity', 'Mohammed Ali Road']","{'Byculla Zoo': '1 km', 'Mumbai Central': '2 km', 'Phoenix Marketcity': '3 km', 'CSMT Station': '4 km', 'Eastern Freeway': '2 km'}",https://www.99acres.com/piramal-revanta-byculla,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,650 sq.ft.', 'price-range': '₹ 9.5 - 11 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,250 sq.ft.', 'price-range': '₹ 13 - 15 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Landscaped Gardens', 'Yoga Pavilion', 'Children's Play Area', 'Party Lawn', '24x7 Security', 'Rain Water Harvesting']"
Wadhwa Group - Aerocity,"Studio, 1, 2 BHK Apartment in Andheri East, Mumbai","['Mumbai Airport', 'Bandra Kurla Complex', 'WEH', 'Chakala', 'Andheri Station']","{'Mumbai Airport': '1.5 km', 'BKC': '4 km', 'Andheri Station': '2.5 km', 'Western Express Highway': '800 m', 'Metro Station': '600 m'}",https://www.99acres.com/wadhwa-aerocity-andheri,"{'Studio': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '500 sq.ft.', 'price-range': '₹ 2.5 - 3 Cr'}, '1 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '700 sq.ft.', 'price-range': '₹ 3.5 - 4 Cr'}, '2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,050 sq.ft.', 'price-range': '₹ 4.8 - 5.5 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Jogging Track', 'Indoor Games', 'Party Hall', '24x7 Security', 'Car Parking', 'Landscaped Garden']"
Rustomjee Seasons,"2, 3 BHK Apartment in Andheri West, Mumbai","['Versova Beach', 'Lokhandwala Market', 'Andheri Sports Complex', 'WEH', 'Andheri Station']","{'Versova Beach': '3 km', 'Lokhandwala': '2 km', 'Andheri Station': '4 km', 'Western Express Highway': '2 km', 'Metro Station': '1.5 km'}",https://www.99acres.com/rustomjee-seasons-andheri,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,100 sq.ft.', 'price-range': '₹ 5.2 - 6 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,500 sq.ft.', 'price-range': '₹ 7 - 8 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Indoor Games', 'Jogging Track', 'Children's Play Area', '24x7 Security', 'Rain Water Harvesting', 'Car Parking']"
Lodha The Park,"4, 5 BHK Apartment in Wadala, Mumbai","['Wadala TT', 'Five Gardens', 'Sion Fort', 'Shivaji Park', 'Eastern Freeway']","{'Wadala TT': '1 km', 'Eastern Freeway': '500 m', 'Sion': '3 km', 'Mumbai Port': '4 km', 'Metro Station': '800 m'}",https://www.99acres.com/lodha-the-park-wadala,"{'4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,650 sq.ft.', 'price-range': '₹ 12 - 14 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '3,450 sq.ft.', 'price-range': '₹ 15 - 18 Cr'}}","['Swimming Pool', 'Tennis Court', 'Squash Court', 'Gym', 'Club House', 'Yoga Studio', 'Children's Play Area', 'Party Lawn', '24x7 Security']"
Runwal My City,"1, 2, 3 BHK Apartment in Mulund East, Mumbai","['Mulund Station', 'Eastern Express Highway', 'Mulund Lake', 'D Mart', 'Mumbai-Pune Expressway']","{'Mulund Station': '2.5 km', 'Eastern Express Highway': '1.5 km', 'Mulund Lake': '3.5 km', 'Thane': '4 km', 'Mumbai Airport': '16 km'}",https://www.99acres.com/runwal-my-city-mulund,"{'1 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '600 sq.ft.', 'price-range': '₹ 2 - 2.4 Cr'}, '2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '900 sq.ft.', 'price-range': '₹ 3 - 3.5 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,300 sq.ft.', 'price-range': '₹ 4.2 - 5 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Children's Play Area', 'Jogging Track', 'Indoor Games', 'Party Hall', '24x7 Security', 'Car Parking']"
Brigade Group - Meadows,"2, 3 BHK Apartment in Bhandup East, Mumbai","['Bhandup Pumping Station', 'Eastern Express Highway', 'Mumbai Zoo', 'Nehru Nagar', 'Mulund Station']","{'Eastern Express Highway': '2.5 km', 'Bhandup Station': '3.5 km', 'Mulund': '4.5 km', 'Mumbai Airport': '13 km', 'Thane': '7 km'}",https://www.99acres.com/brigade-meadows-bhandup,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,000 sq.ft.', 'price-range': '₹ 3.5 - 4 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,400 sq.ft.', 'price-range': '₹ 4.8 - 5.5 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Children's Play Area', 'Jogging Track', 'Party Lawn', '24x7 Security', 'Rain Water Harvesting', 'Car Parking']"
Lodha Palava,"2, 3 BHK Apartment in Dombivli, Mumbai","['Dombivli Station', 'Eastern Express Highway', 'Kalyan', 'Thane', 'Mumbai-Pune Expressway']","{'Dombivli Station': '3 km', 'Eastern Express Highway': '4 km', 'Kalyan': '5 km', 'Thane': '8 km', 'Mumbai-Pune Expressway': '6 km'}",https://www.99acres.com/lodha-palava-dombivli,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '950 sq.ft.', 'price-range': '₹ 1.8 - 2.2 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,350 sq.ft.', 'price-range': '₹ 2.5 - 3 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Tennis Court', 'Squash Court', 'Indoor Games', 'Jogging Track', 'Amphitheatre', 'Party Hall']"
Godrej Eden,"3, 4 BHK Apartment in Vikhroli West, Mumbai","['Godrej Industries', 'IIT Bombay', 'Hiranandani Hospital', 'Kanjurmarg Station', 'Eastern Express Highway']","{'IIT Bombay': '2.5 km', 'Eastern Express Highway': '600 m', 'Powai Lake': '3.5 km', 'Mumbai Airport': '7 km', 'Kanjurmarg Station': '1.5 km'}",https://www.99acres.com/godrej-eden-vikhroli,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,800 sq.ft.', 'price-range': '₹ 7 - 8 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,400 sq.ft.', 'price-range': '₹ 9 - 10.5 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Tennis Court', 'Squash Court', 'Indoor Games', 'Jogging Track', 'Amphitheatre', 'Party Hall']"
Hiranandani Meadows,"3, 4, 5 BHK Apartment in Thane West, Mumbai","['Upvan Lake', 'Talao Pali', 'Korum Mall', 'Cadbury Junction', 'Eastern Express Highway']","{'Upvan Lake': '1.5 km', 'Korum Mall': '2.5 km', 'Thane Station': '4 km', 'Eastern Express Highway': '3 km', 'Mumbai-Pune Expressway': '5 km'}",https://www.99acres.com/hiranandani-meadows-thane,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,900 sq.ft.', 'price-range': '₹ 4.8 - 5.5 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,500 sq.ft.', 'price-range': '₹ 6.5 - 7.5 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '3,200 sq.ft.', 'price-range': '₹ 8.5 - 10 Cr'}}","['Swimming Pool', 'Tennis Court', 'Squash Court', 'Gymnasium', 'Club House', 'Basketball Court', 'Jogging Track', 'Skating Rink', 'Party Lawn']"
Kalpataru Vista,"2, 3 BHK Apartment in Mulund East, Mumbai","['Mulund Station', 'Eastern Express Highway', 'Mulund Lake', 'D Mart', 'Mumbai-Pune Expressway']","{'Mulund Station': '2.2 km', 'Eastern Express Highway': '1.2 km', 'Mulund Lake': '3.2 km', 'Thane': '4.5 km', 'Mumbai Airport': '15 km'}",https://www.99acres.com/kalpataru-vista-mulund,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,000 sq.ft.', 'price-range': '₹ 3.2 - 3.8 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,400 sq.ft.', 'price-range': '₹ 4.5 - 5.2 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Children's Play Area', 'Jogging Track', 'Indoor Games', 'Party Hall', '24x7 Security', 'Car Parking']"
Piramal Heights,"3, 4 BHK Apartment in Byculla East, Mumbai","['Byculla Zoo', 'Mumbai Central', 'Wadia Hospital', 'Phoenix Marketcity', 'Mohammed Ali Road']","{'Byculla Zoo': '800 m', 'Mumbai Central': '1.5 km', 'Phoenix Marketcity': '2.5 km', 'CSMT Station': '3.5 km', 'Eastern Freeway': '1.5 km'}",https://www.99acres.com/piramal-heights-byculla,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,700 sq.ft.', 'price-range': '₹ 10 - 11.5 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,300 sq.ft.', 'price-range': '₹ 14 - 16 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Landscaped Gardens', 'Yoga Pavilion', 'Children's Play Area', 'Party Lawn', '24x7 Security', 'Rain Water Harvesting']"
Wadhwa Group - Upper Vikhroli,"Studio, 1, 2 BHK Apartment in Vikhroli East, Mumbai","['Godrej Industries', 'IIT Bombay', 'Hiranandani Hospital', 'Kanjurmarg Station', 'Eastern Express Highway']","{'IIT Bombay': '2.8 km', 'Eastern Express Highway': '700 m', 'Powai Lake': '3.8 km', 'Mumbai Airport': '8.5 km', 'Kanjurmarg Station': '2.2 km'}",https://www.99acres.com/wadhwa-upper-vikhroli,"{'Studio': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '480 sq.ft.', 'price-range': '₹ 2.4 - 2.8 Cr'}, '1 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '680 sq.ft.', 'price-range': '₹ 3.2 - 3.7 Cr'}, '2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '980 sq.ft.', 'price-range': '₹ 4.5 - 5.2 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Jogging Track', 'Indoor Games', 'Party Hall', '24x7 Security', 'Car Parking', 'Landscaped Garden']"
Rustomjee Eternia,"2, 3 BHK Apartment in Andheri East, Mumbai","['Mumbai Airport', 'Bandra Kurla Complex', 'WEH', 'Chakala', 'Andheri Station']","{'Mumbai Airport': '1.8 km', 'BKC': '4.2 km', 'Andheri Station': '2.8 km', 'Western Express Highway': '900 m', 'Metro Station': '700 m'}",https://www.99acres.com/rustomjee-eternia-andheri,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,150 sq.ft.', 'price-range': '₹ 5 - 5.8 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,550 sq.ft.', 'price-range': '₹ 6.8 - 7.8 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Indoor Games', 'Jogging Track', 'Children's Play Area', '24x7 Security', 'Rain Water Harvesting', 'Car Parking']"
Lodha Casa Rio,"4, 5 BHK Apartment in Wadala West, Mumbai","['Wadala TT', 'Five Gardens', 'Sion Fort', 'Shivaji Park', 'Eastern Freeway']","{'Wadala TT': '1.2 km', 'Eastern Freeway': '600 m', 'Sion': '3.2 km', 'Mumbai Port': '4.2 km', 'Metro Station': '900 m'}",https://www.99acres.com/lodha-casa-rio-wadala,"{'4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,700 sq.ft.', 'price-range': '₹ 13 - 15 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '3,500 sq.ft.', 'price-range': '₹ 17 - 20 Cr'}}","['Swimming Pool', 'Tennis Court', 'Squash Court', 'Gym', 'Club House', 'Yoga Studio', 'Children's Play Area', 'Party Lawn', '24x7 Security']"
